title,company,description,onsite_remote,salary,location,criteria,posted_date,link
VENDEDORES/AS (M/F) JD SPORTS COLOMBO SETEMBRO 2023,JD Sports Fashion,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Not Applicable'}, {'Employment type': 'Part-time'}, {'Job function': 'Other'}, {'Industries': 'Retail'}]",2023-08-18,https://lk.linkedin.com/jobs/view/vendedores-as-m-f-jd-sports-colombo-setembro-2023-at-jd-sports-fashion-3711619317?refId=Bsgn0e0qaXL4tMKAJwiRkg%3D%3D&trackingId=gBB1jR3gzHYl6%2FSxdf%2B4AA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
General Maintenance Worker,Alhambra Elementary School District,Nan,onsite,NaN,"Office Junction, Central Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Management and Manufacturing'}, {'Industries': 'Education Administration Programs'}]",2023-09-08,https://lk.linkedin.com/jobs/view/general-maintenance-worker-at-alhambra-elementary-school-district-3715517046?refId=Bsgn0e0qaXL4tMKAJwiRkg%3D%3D&trackingId=HK3Mp%2BTjjeRM6j6oew4XBg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Content Writer,CodeGen International,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Marketing, Public Relations, and Writing/Editing'}, {'Industries': 'Software Development'}]",2023-05-31,https://lk.linkedin.com/jobs/view/content-writer-at-codegen-international-3621782247?refId=Bsgn0e0qaXL4tMKAJwiRkg%3D%3D&trackingId=8StQE5HBs0LbgH0r2zW1EA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Work Based Learning Coordinator (CTE),Salt Lake City School District,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Internship'}, {'Job function': 'Education and Training'}, {'Industries': 'Primary and Secondary Education'}]",2023-08-08,https://lk.linkedin.com/jobs/view/work-based-learning-coordinator-cte-at-salt-lake-city-school-district-3688617246?refId=Bsgn0e0qaXL4tMKAJwiRkg%3D%3D&trackingId=F%2Fh8CtNOsyrq0094YIx8nw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
ESPRO 034714-JOVEM APRENDIZ SANEPAR COLOMBO,Espro,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Internship'}, {'Employment type': 'Full-time'}, {'Job function': 'Management and Manufacturing'}, {'Industries': 'Philanthropic Fundraising Services'}]",2023-09-05,https://lk.linkedin.com/jobs/view/espro-034714-jovem-aprendiz-sanepar-colombo-at-espro-3710649161?refId=Bsgn0e0qaXL4tMKAJwiRkg%3D%3D&trackingId=pPKrXLTWmCsCWRoCPLSZcQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Talent and HR Generalist,Sydpro - Sri Lanka,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Executive'}, {'Employment type': 'Full-time'}, {'Job function': 'Human Resources'}, {'Industries': 'Outsourcing and Offshoring Consulting'}]",2023-08-22,https://lk.linkedin.com/jobs/view/talent-and-hr-generalist-at-sydpro-sri-lanka-3697136086?refId=Bsgn0e0qaXL4tMKAJwiRkg%3D%3D&trackingId=GNmdWqmP0M8oIFDUjPwQbw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Country Manager - Sri Lanka,International Water Management Institute (IWMI),Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Sales and Business Development'}, {'Industries': 'Technology, Information and Internet'}]",2023-08-15,https://lk.linkedin.com/jobs/view/country-manager-sri-lanka-at-international-water-management-institute-iwmi-3694895806?refId=Bsgn0e0qaXL4tMKAJwiRkg%3D%3D&trackingId=9NkWjZCLJmsBvmBt%2Ffh79g%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Commis Chef - Beer House,RHR,Nan,onsite,NaN,"Glasgow State, Central Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Management and Manufacturing'}, {'Industries': 'Staffing and Recruiting'}]",2023-08-29,https://lk.linkedin.com/jobs/view/commis-chef-beer-house-at-rhr-3704089915?refId=Bsgn0e0qaXL4tMKAJwiRkg%3D%3D&trackingId=dPmLnyI3q5sGyylv1bpy0A%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Project Coordinator,CodeGen International,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Other'}, {'Industries': 'Software Development'}]",2023-05-31,https://lk.linkedin.com/jobs/view/project-coordinator-at-codegen-international-3621782243?refId=Bsgn0e0qaXL4tMKAJwiRkg%3D%3D&trackingId=Kk8ha6Tby2MuvDfoDk6U7w%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Country Head,On Device Solutions Ltd.,Nan,onsite,NaN,"Mount Lavinia, Western Province, Sri Lanka","[{'Seniority level': 'Director'}, {'Employment type': 'Full-time'}, {'Job function': 'Business Development and Sales'}, {'Industries': 'Information Services and Software Development'}]",2023-05-16,https://lk.linkedin.com/jobs/view/country-head-at-on-device-solutions-ltd-3606456080?refId=Bsgn0e0qaXL4tMKAJwiRkg%3D%3D&trackingId=8KdBNvQnUzDKxZjYNKre7w%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
Packaging Supervisor,Jobskey Search and Selection,Nan,onsite,NaN,"Western Province, Sri Lanka","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Management and Manufacturing'}, {'Industries': 'Staffing and Recruiting'}]",2023-04-09,https://lk.linkedin.com/jobs/view/packaging-supervisor-at-jobskey-search-and-selection-3597755565?refId=Bsgn0e0qaXL4tMKAJwiRkg%3D%3D&trackingId=GYiT5An%2BspbOgJrcq6typA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
Site Engineer,Global HR Solutions (Pvt) Ltd,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Construction, Leasing Non-residential Real Estate, and Facilities Services'}]",2023-08-28,https://lk.linkedin.com/jobs/view/site-engineer-at-global-hr-solutions-pvt-ltd-3702357996?refId=Bsgn0e0qaXL4tMKAJwiRkg%3D%3D&trackingId=nAhU11p%2FxjDt8zYgX2KvkA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
Videographer/Photographer Urgent Hiring for Qatar office,Record on Studio,Nan,onsite,"LKR1,440,000.00
            -
            LKR1,680,000.00","Gampaha, Western Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Marketing, Public Relations, and Writing/Editing'}, {'Industries': 'Advertising Services, Online Audio and Video Media, and Book and Periodical Publishing'}]",2023-05-05,https://lk.linkedin.com/jobs/view/videographer-photographer-urgent-hiring-for-qatar-office-at-record-on-studio-3597006860?refId=Bsgn0e0qaXL4tMKAJwiRkg%3D%3D&trackingId=YSwHJvsr%2BZmGEUuJ%2Fg9LDg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
Senior Executive - HR & Operations,CodeGen International,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Human Resources'}, {'Industries': 'Software Development'}]",2023-08-22,https://lk.linkedin.com/jobs/view/senior-executive-hr-operations-at-codegen-international-3697107909?refId=Bsgn0e0qaXL4tMKAJwiRkg%3D%3D&trackingId=QLTf%2FI3KIsuMfM%2FHd85l6Q%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
Executive - Human Resources,MAS Holdings,Nan,onsite,NaN,"Western Province, Sri Lanka","[{'Seniority level': 'Executive'}, {'Employment type': 'Full-time'}, {'Job function': 'Other and Human Resources'}, {'Industries': 'Human Resources Services'}]",2023-09-07,https://lk.linkedin.com/jobs/view/executive-human-resources-at-mas-holdings-3714217316?refId=Bsgn0e0qaXL4tMKAJwiRkg%3D%3D&trackingId=kM3MkfXfhlcXcKjFT9VPQA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
